STOK_KODU;CARISTOK_KODU;Parça No;Parça No1;Parça No2;Buffer;Depo;Pasif
00443-200;4305212F4-0;4305212F4-3;;;;;
00444-200;5151461.9-0;5151461-3;;;Kalacak;;
00445-200;84321712.9-0;84321712-3;;84321712/N;;;5
00446-100;47745424-0;;;47745424/48168051;Kalacak;;
00448-200;48028909.9-0;;;48028909.9;Kalacak;;
00449-200;48028907.9-0;;;48028907.9;Kalacak;;
00522-100;82959481-0;82959481-3;;82959481;;2;
00523-100;82959482-0;82959482-3;;82959482;;;5
00700-200;87537847-3;87537847-3;;;;;
00701-200;87537847-0;84270399A;;84270399A;Kalacak;;
40014-200;021A-WI.01-0;;;TD2041915-03;;;
40029-200;037A-WI-0;;;2111615-02;;2;
40037-200;2056375-0;;TD2056375-03;TD2056375-03;;2;
40048-200;2056395-0;;TD2056395-01;TD2056395-01;;2;
40064-200;152A-WI-0;;;2100304-01;;;5
40067-200;2103028-0;;;2103028-03;;2;
40073-200;2082773.2-0;;;2082773-02;;2;
40119-200;2097202-0;;;2097202-01;;2;
40129-200;2028368-0;;;2028368-04;;2;
40336-200;9205875-0;;;1000538744 AA / 9205875;;2;
78903-200;;;;;;;5
78867-200;203-111-0;;;;;;5
78868-200;203-112-0;;;;;;5
78854-200;203-113-0;;;;;;5
78988-200;203-113A-0;;;;;;5
78855-200;203-114-0;;;;;;5
78856-200;203-115-0;;;;;;5
40756-200;11755-0;11756-3;;0059-002-A;Kalacak;;
78858-100;203-117-0;;;;;;5
78877-200;203-118-0;;;;;;5
78878-200;203-125-0;;;;;;5
78907-200;203-127-0;;;;;;5
78874-200;203-128-0;300-321;;;;;
78987-200;203-140-0;;;;;;5
78882-200;203-480-0;;;;;;5
78859-200;250-211-0;;;;;;5
78957-200;250-212-0;;;;;;5
78961-200;250-213-0;;;;;;
78962-200;250-214-0;;;;;;5
78963-200;250-215-0;;;;;;5
78958-200;250-216-0;;;;;;5
40744-200;12094-0;;;0101-001;;;5
78966-200;250-218;;;;;;5
78857-100;250-221-0;;;;;;5
78908-200;250-223-0;;;;;;5
78926-200;250-224-0;;;;;;5
78984-200;250-240/1-0;;;;;;
78972-200;300-312-0;;;;;;5
78960-200;300-315-0;;;;;;
78980-100;78980-100;;;;;;5
78989-200;78989-200;;;;;;5
37893-200;37893-200;;;;;;5
37899-100;37899-100;;;;;;5
37974-100;37974-100;;;;;;5
37976-100;37976-100;;;;;;
37979-100;37979-100;;;;;;5
38233-100;38233-100;;;;;2;
38267-100;38267-100;;;;;;5
38398-100;38398-100;;;;;;5
20710-200;20710-200-0;;;;;;5
20711-200;20711-200;;;;;;5
30703-100;12SQ28-0;;;234742/00;;;
30710-100;33HA19-0;;;103180055025/01;;;
30712-100;18ST55-0;91EM01-3;;134596/00;;;
34177-100;59CL38-3;#YOK;#YOK;#YOK;;;
35000-200;34CS10-0;68FG22-3; ;103140015021/03;;;5
35001-200;93BX82-0; ; ;103160015021/03;;;5
35002-200;10ES03-0; ;;103180015021/03;;;5
35003-200;80FB33-0;05CA13-3;;103200015021/03;;;5
35004-200;85EC07-0; ;;103240015021/03;;;5
35005-200;64EH75-3; ;;103280015021/02;;;
35006-200;32PZ29-3; ;;103300015021/01;;;
35007-200;72GQ46-3;72GQ46-3;;103320015021/02;;;
35008-200;34BX65-0;103100055021/05;;;;;
35009-100;88CN58-0; ;;103140015021/03;;;5
35010-100;85EK19-0; ;;103160015021/03;;;5
35011-100;55EV60-0;88EC93-3;;103180015021/03;;;5
35012-100;66GJ62-3; ;;103200015021/1;;;
35013-100;36FS95-0; ;;103240015021/03;;;5
35014-100;64FA42-3;72GL27-3;;103280015021/02;;;
35015-100;03YH31-0;2616822/B;;;;;
35016-100;89DV71-3;90CK41-3;;103320015021/01;;;
35017-100;21QY90-3;21QY90-3;;103120DBX021/01;;;
35018-100;94MK80-1;318312/02;318312/02;318311;;;
35019-100;37YQ80-0;;;104160DBX022/01;;;
35020-100;20YD92-0;104100DBX021/02;;;;;
35021-100;38BR14-0;221588/0;;;;;
35022-100;73PW51-0;121587/0;;;;;
35023-100;48DG87-0;121585/0;;;;;
35024-100;01KN29-0;121588;;;;;
35025-100;17YX14-0;121563/0;;;;;
35026-100;15AR92-0;121565/0;;;;;
35027-100;67EL64-0;67EL64-3;;262320DBX021/00;;;
35028-100;79JF18-0; ; ;104720DBX021/03;;;
35029-100;60EX05-0;321559/00;;;;;
35030-100;00YG01-0;321-638-00;;;;;
35031-100;37JH90-0;2616819/B;;;;;
35032-100;35QH68-0;2616821/B;;;;;
35033-100;18JL54-0;2616820/B;;;;;
35034-100;52WL34-0;0.513292/C;;;;;
35035-100;31KU11-0;131784/00;;;;;
35036-100;11EB23-0; ;;103200017021/02;;;
35037-100;03CZ89-0;78CA05-3;;103240017021/02;;;
35038-100;66XB17-3;66XB17-3;;104480DBX021/02;;;
35039-100;14YW46-0;;;131559/00;;;
35040-100;52XD32-0;;;131561/00;;;
35041-100;92CK31-1;;;104050009021/01;;;
35042-100;51NJ29-3;77YX13-3;;121785/00;;;
35043-100;98HU98-0; ;;117030DBX021/00;;;5
35044-100;91WJ08-0;91WJ08-3;;121794/00;;;
35045-100;77JF17-0;77JF17-3;;121793/00;;;
35046-100;36SX37-0;36SX37-3;;121792/00;;;
35047-100;92NX58-0;;;221791/00;;;
35048-100;20FG78-3; ;;262560DBX121/00;;;
35049-200;72GT28-0;;;103080055021/04;;;
35050-200;07PJ08-0; ;;103140017021/02;;;5
35051-200;04XC46-3;04XC46-3;;103140017022/01;;;
35052-200;30VZ08-0;41VD02-3;;103160017021/02;;;5
35053-200;12WN46-3;36PC93-3;;103180017021/01;;;
35054-200;04XL40-3;;;103180017022/01;;;
35055-200;19VD18-3; ;;103200017021/01;;;
35056-200;14YQ22-0;71ZT38-3;;103240017021/01;;;
35057-200;35ZJ26-0; ;;103280017021/01;;;
35058-200;29HW71-0; ;;103280017022/00;;;
35059-200;42JN67-3; ;;103300017021/01;;;
35060-200;00KE24-0; ;;103300017022/00;;;
35061-100;59JY88-0;59JY88-3;;1475754;;;
35062-200;05QS68-0; ;;103320017021;;;
35063-100;75DN80-0; ;;103140017021/02;;;5
35064-100;03JC60-0; ;;148560056021/01;;;
35065-100;39EQ77-0;70EK33-3;103160017021/02;103160017021/02;;;5
35066-100;61BL98-0; ;;10318001702/01;;;
35067-100;42BQ99-0; ; ;103180017022/01;;;
35068-100;21BC04-0; ;;103280017021/02;;;
35071-100;29DZ36-3; ;;103320017021/01;;;
35072-100;10FG69-0;B1497747;;;;;
35073-100;67SS20-0;1497740 A;;;;;
35074-100;50KY71-0; ;;148720056021/01;;;
35075-100;07DL91-0;;;148999DBX060-01;;;
35076-100;82NG39-0; ;;431811/00;;;
35077-100;65NS51-0;331-802/00;331-802/00;;;;
35078-100;17MN87-0;318547/00;318547/00;318-546/00;;;
35079-100;74ME79-0; ;;331815/01;;;
35080-100;18KY83-0;231823/00;231823/00;;;;
35081-200;88BC28-0;88BC28-3;;331812/01;;;
35082-100;41FD19-0;318830/00;;;;;
35083-100;01JE06-0;01JE06-3;;14828056021/01;;;
35084-100;69CK60-3;69CK60-3;;248999DBX050/00;;;
35085-100;84SG52-0;262200DBX021/01;262200DBX021/01;;;;
35086-100;84DB85-0;248999DBX045;248999DBX045;;;;
35087-100;65GP57-3; ; ;262160DBX021/03;;;
35088-100;03FJ57-3;03FJ57-3;;248999DBX040/00;;;
35089-100;81YH97-0;262120DBX021/01;262120DBX021/01;;;;
35090-100;68TT77-0;;;103240055022/03;;;
35090-200;28BW32-0; ; ;103140009021/03;;;5
35091-100;99FR17-0;321475/00;321475/00;;;;
35091-200;33GD72-0;;;103160009021/03;;;5
35092-100;36FW61-0;262060DBX021/00;262060DBX021/00;;;;
35092-200;85BW06-0;;;103180009021/02;;;
35093-100;81BL76-0; ;262080DBX021/01;262080DBX021/01;;;
35093-200;60GP18-0;103200009021;;;;;
35094-100;13AS04-0;103140009021;;;;;
35095-100;72DP43-0;103160009021;;;;;
35096-100;91AK45-0;103180009021/02;;;;;
35097-100;65FD52-0; ; ;121837/02;;;
35098-100;84BV45-0; ; ;121836/00;;;
35099-100;86KL20-0;104080DBX021/02;;;;;
35100-100;62MF53-0;248999DBX030/00;248999DBX030/00;;;;
35101-100;42GP96-0;42GP96-3;;262240DBX021/04;;;
35102-100;72HW41-0;;;248999DBX025/01;;;
35103-100;80GD25-0; ; ; ;;;
35104-100;63FD12-0;;103200DBX021/00;103200DBX021/00;;;
35105-100;92WM73-0;;103160DBX021/02;103160DBX021/02;;;
35106-100;47HB38-0;103320DBX021/02;103320DBX021/02;103320DBX021/02;;;
35107-100;26AX91-0;104120DBX021/03;104120DBX021/03;104120DBX021/03;;;
35108-100;24FN51-0;103060DBX021/00;103060DBX021/00;103060DBX021/00;;;
35109-100;35TF39-0;104060DBX021/02;104060DBX021/02;104060DBX021/02;;;
35110-200;52BA56-0; ;103180010021-03;103180010021-03;;;
35111-100;63NL24-0;331-800/00;331-800/00;;;;
35112-100;20RX73-0;103280055021;103280055021;103280055021;;;
35113-100;18CB16-0;119322/00;119322/00;119322/00;;;
35114-100;23PZ40-0; ; ;131-532/00;;;
35115-100;28CA53-0; ; ;104060055021;;;
35116-100;78BB58-0;;104080055021/01;104080055021/01;;;
35117-100;92DB80-0;;;104100055021/01;;;
35118-100;42FY27-0;;;104120055021/01;;;
35119-100;30RH32-0;121037/01;121037/01;121037/01;;;
35120-100;33YM39-0; ; ;119514/00;;;
35121-100;53HN06-0;;103100055025/00;103100055025/00;;;
35122-100;29GG51-0; ;119494/00;119494/00;;;
35123-100;16RQ65-0; ;119325/00;119325/00;;;
35124-100;94DC15-0; ; ;131182/01;;;
35125-100;46GF12-0;121915/01;121915/01;121915/01;;;
35126-100;45JH23-0;121916/00;121916/00;121916/00;;;
35127-100;19WS51-0;121917/00;121917/00;121917/00;;;
35128-100;95XS15-0;121918/00;121918/00;121918/00;;;
35129-100;24DC56-0;121919/01;121919/01;121919/01;;;
35130-100;91GU16-0;121920/00;121920/00;121920/00;;;
35131-100;71DN30-0; ;104060009021/01;104060009021/01;;;
35132-100;62GY58-0;104080009021/01;;;;;
35133-100;05AV58-0; ;;104120009021/01;;;
35134-100;56PA09-0;131840;;;;;
35135-100;62CP73-0;119361/00;119361/00;119361/00;;;
35136-200;82DY92-0;103400055021/00;103400055021/00;103400055021/00;;;
35137-100;43KR96-0;;;104180015021/01;;;
35138-100;58HN67-0;103120055022/00;103120055022/00;103120055022/00;;;
35139-100;25KY75-0; ; ; ;;;
35142-100;57YN79-0;203040AVV025/01;203040AVV025/01;203040AVV025/01;;;5
35144-100;84WA12-0;121922/00;121922/00;121922/00;;;
35145-100;19VE01-0;121923/00;121923/00;121923/00;;;
35146-100;31ER98-0;121924/00;121924/00;121924/00;;;
35147-100;91LD15-0;121926/00;121926/00;121926/00;;;
35148-100;52CS18-0;121927/00;121927/00;121927/00;;;
35149-100;46JF45-0;121945/00;121945/00;121945/00;;;
35150-100;48GF58-0;121944/00;121944/00;121944/00;;;
35151-100;66KH25-0;121943/00;121943/00;121943/00;;;
35152-100;45DF86-0;121941/00;121941/00;121941/00;;;
35153-100;89DC26-0; ;104030014021/02;104030014021/02;;;5
35154-100;23YG67-0;121942/00;121942/00;121942/00;;;
35155-100;94FR70-0; ; ;104050014021/02;;;5
35156-100;51BU38-0; ;104060014021/02;104060014021/02;;;5
35157-100;51TS68-0; ; ;131968/00;;;
35158-100;39CB43-0; ; ;104100014021/02;;;5
35159-100;80GP73-0;;;104120014021/02;;;5
35160-100;07JT30-0; ; ;104140015021-03;;;5
35161-100;25JU17-0;104160015021/01;104160015021/01;104160015021/01;;;
35162-100;79PL98-0;79PL98-3;;148280056021/01;;;
35163-100;51KF11-0;104200015021/01;104200015021/01;104200015021/01;;;
35164-100;97TL48-0; ; ; ;;;
35165-100;59BR26-0;104280015021/02;104280015021/02;104280015021/02;;;
35166-100;87OP56-0;204440DBX122/00;204440DBX122/00;104440DBX022/00;;;
35167-100;10CK95-0;104320015021/01;104320015021/01;104320015021/01;;;
35168-100;57LW64-3;204400DBX022/04;204400DBX022/04;104400DBX022/01;;;
35169-100;27BE26-3;27BE26-3;;104480DBX022/00;;;
35171-100;20YS82-0;204480DBX024/01;204480DBX024/00;104480DBX024/00;;;
35172-100;78SF19-0;204240DBX022/00;204240DBX022/00;104240DBX022/00;;;
35173-100;81HD32-0;81HD62-3;;103280017022/00;;;
35174-200;80XV47-0;;103080055024/01;103080055024/01;;;
35175-100;97RN09-0;262240DBX021/02;262240DBX021/02;262240DBX021/02;;;
35176-100;91RS16-0; ; ;262320DBX021/04;;;
35177-100;64GG25-3;262400DBX021/02;262400DBX021/02;262400DBX021/02;;;
35178-100;32FV25-0;262480DBX021/02;262480DBX021/02;262480DBX021/02;;;
35179-100;57EG65-0; ; ;262600DBX021/01;;;
35180-100;72HK67-1;103060055021/03;103060055021/03;103060055021/03;;;
35181-100;38HC85-0; ;103080055021-04;103080055021-04;;;
35182-100;44HJ77-0; ;103100055021-05;103100055021-05;;;
35183-100;01DN58-0;;119494/00;119494/00;;;
35184-100;47TD86-0;47TD86-3;272999RGH060/01;272999RGH060/01;;;
35185-100;25YG34-0;118873/01;118873/01;118873/01;;;
35186-100;65GA38-0;103220055025/00;103220055025/00;103220055025/00;;;
35187-100;71QH33-0;118874/01;118874/01;118874/01;;;
35188-100;64DD52-0;;104080DBX021-02;104080DBX021-02;;;
35189-100;61QS42-3;61QS42-3;;118875/02;;;
35190-100;54DM20-3;118885/03;118885/03;118885/03;;;
35191-200;58BN97-0;;103140055021/03;103140055021/03;;;
35192-100;30PJ38-0; ;;118964/00;;;
35193-100;24CT35-0;118871/01;;;;;
35194-100;19NS65-0;;;103400055021/00;;;
35195-100;69NF29-0; ;;103280055021/00;;;
35196-100;78WC21-0;119322/00;119322/00;119322/00;;;
35197-100;91PY01-0; ;119312/00;119312/00;;;
35198-100;71PL46-0;119325;119325;119325;;;
35199-100;55DX47-0;; ;104040009021/01;;;
35200-100;29FB14-0;118965;;;;;
35201-100;04PQ55-0; ; ;104.400 DBX 021/02;;;
35202-100;18VC15-3; ; ;;;;
35203-100;06DK24-0;;104020014021/02;104020014021/02;;;5
35204-100;25RA75-0;321080AVV022/00;321080AVV022/00;;;;
35205-100;23QG40-3;203080AVV025/02;203080AVV025/02;;;;
35206-100;69PS93-0;; ;103200055022/02;;;
35207-100;87CP67-0;262520DBX121/00;262520DBX121/00;262520DBX121/00;;;
35208-100;43DU05-0;;131-740/00;131-740/00;;;
35209-100;20KL56-0;232-029/00;232-029/00;231-823;;;
35210-200;42YT06-0;318625/00;318625/00;;;;
35211-100;66GU41-3;332-044/00;332-044/00;332-062;;;
35212-100;11CT85-0;332-046/00;332-046/00;332-059;;;
35213-100;55YE66-0;332-047/00;332-047/00;332-060;;;
35214-100;34XE13-3;332-048/00;332-048/00;332-061/00;;;
35215-100;65LT46-0;;132082/00;132082/00;;;
35216-100;11UQ78-0;;104.280.DBX.022/01;104.280.DBX.022/01;;;
35217-100;15KL02-0;331-973/00;331-973/00;318-546;;;
35218-100;64EE58-0;;B821.300 POS B;B821.300 POS B;;;
35219-100;32RH63-0;;B821.300POS C;B821.300POS C;;;
35228-200;52DH25-0; ; ;103100055025;;;
35229-100;43PQ78-0;331.834/01;331.834/01;331.834/01;;;
35230-100;00JL54-0;431.833/01;431.833/01;431.811;;;
35231-100;90XU41-1;331.838/01;331.838/01;331-815;;;
35232-100;68LX34-0;119090/01;119090/01;119-089/02;;;
35233-100;61VT15-0;A1475669;A1475669;421-993;;;
35234-100;51EC16-0;B1475690;B1475690;421-995;;;
35235-100;62FR14-0;A 1475704;A 1475704;421-992;;;
35236-100;58DR41-0;B 1475668;B 1475668;421-992;;;
35237-100;66VE02-0;B1475731;B1475731;421-995;;;
35238-100;64DD15-0;A1475691;A1475691;421-995;;;
35239-100;33GL52-0;B1475732;B1475732;421-995;;;
35240-100;85DE15-0;A1475729;A1475729;421-994;;;
35241-100;94LJ16-0;A1475730;A1475730;421-994;;;
35242-100;31CE95-0;A1475728;A1475728;A1475728;;;
35243-100;31CE68-0;A1475717;A1475717;421-993;;;
35244-100;61CW23-0;B1451608;B1451608;B1451608;;;
35245-100;02VE90-0;B1451410;B1451410;B1451410;;;
35246-100;42BY71-3;121965/00;121965/00;203.080AVV.023/01;;;
35247-100;92KY16-0; ; ;103.240.055.022/03;;;
35248-100;92QC44-0;204480DBX121/00;204480DBX121/00;104.480 DBX021/02;;;
35249-100;72CN41-0;; ;132014/01;;;
35250-100;90UX10-1; ; ;331-603/00;;;
35251-100;34KB24-0;247.720.056.022/01;247.720.056.022/01;147.600.056.021/02;;;
35252-100;44AV69-3; ; ;103140017022/01;;;
35253-100;14ST64-0;B 1451807;B 1451807;B 1451807;;;
35254-100;84FR04-0;B 1451006;B 1451006;B 1451006;;;
35255-100;24DR94-0;C 1475681;C 1475681;C 1475681;;;
35256-100;81GT16-0;C 1475682;C 1475682;C 1475682;;;
35257-100;71VR15-0;C 1475683;C 1475683;C 1475683;;;
35258-100;55WE96-0;C1475684;C1475684;C1475684;;;
35259-100;88QA26-0;204560DBX121/02;204560DBX121/02;104.560DBX021/02;;;
35261-100;50RT69-3; ;132-278/01;132-278/01;;;
35262-100;68XM72-0;262800DBX121/00;262800DBX121/00;332-004/00;;;
35263-100;85QK23-0; ; ;132-254/00;;;
35264-100;84VC82-0;;103180055021/02;103180055021/02;;;
35265-100;87LJ78-0;;219774/01;219774/01;;;
35266-100;07CS67-0; ; ;14728C056021/00;;;
35267-100;14RT89-0; ; ;14828C056021/00;;;
35268-100;14YK75-3;14YK75-3;;103320017022/00;;;
35269-100;58XT99-3; ; ;103300017021/01;;;
35270-100;05JC04-0;;103320017022/00;103320017022/00;;;
35271-100;16LT32-0;332216/02;332216/02;332216/02;;;
35272-100;58KF15-0;332233/00;332233/00;331603/00;;;
35273-100;51RD61-0; ; ;262200DBX021/01;;;
35274-100;80DV97-0;;103080DBX021/00;103080DBX021/00;;;
35275-100;34CW48-0;272999RGH065/01;272999RGH065/01;272999RGH065/01;;;
35276-100;59RL30-0; ;219-835/00;219-835/00;;;
35277-100;35KM64-0;319856/00;319856/00;332060;;;
35278-100;79LK98-0;247400056021/01;147320056021/01;147320056021/01;;;
35279-100;20MY35-0;247480056021/01;247480056021/01;147400056021/01;;;
35280-100;64KN85-0; ; ;147280056022/01;;;
35281-100;77AS60-0;;103320055022/00;103320055022/00;;;
35282-100;64QR02-0;;103280055022/00;103280055022/00;;;
35283-100;20TT26-0;;;148999DBX070/01;;;
35284-100;35QP70-0;248999DBX100/01;248999DBX100/01;148.999DBX100/00;;;
35285-100;34NK03-0;332383/00;332383/00;332383/00;;;
35286-100;74EX02-0;103060DBX024/00;103060DBX024/00;103060DBX024/00;;;
35287-100;53ES18-0;;103100DBX021/01;103100DBX021/01;;;
35288-100;50MD33-0;50MD33-3;;262100DBX021/03;;;
35289-100;35KD23-0;;103400055021/00;103400055021/00;;;
35290-100;33BS48-0;118583/03;118583/03;118582/00;;;
35291-100;11XT82-3;;103160017021/01;103160017021/01;;;
35292-100;02AP04-0;;;103200017021/01;;;
35293-100;04BP16-0;;;103320017021/01;;;
35294-100;96VQ05-0;;104240DBX022/00;104240DBX022/00;;;
35295-100;70DP68-0;;131061/00;131061/00;;;
35296-100;15XP71-0;;119702/00;119702/00;;;
35297-100;26LQ76-0;032-698/00;032-698/00;032-675/00;;;
35298-100;48UM46-0;;103240DBX022/00;103240DBX022/00;;;
35299-100;88CN98-0;;;104240DBX022/01;;;
35300-100;54SF04-0;262480DBX021/02;262480DBX021/02;262480DBX021/02;;;
35301-100;35CV21-0;203140017121/00;203140017121/00;103140017021/01;;;
35302-100;65GU13-0;203280017121/01;203280017121/01;103280017021/01;;;
35303-100;40RC64-0;262360DBX121/00;262360DBX121/00;262360DBX121/00;;;
35304-100;33RR14-0;132-700/00;132-700/00;104640DBX022/02;;;
35305-100;14TB36-0;132-385/00;132-385/00;132-385/00;;;
35306-200;61QW17-0;;119322/00;119322/00;;;
35307-100;31TC25-0;;103120DBX022/03;103120DBX022/03;;;
35308-100;23KH85-0;;104120DBX021/03;104120DBX021/03;;;
35309-100;88FE51-0;332401/00;332401/00;332401/00;;;
35310-100;85TY15-0;032513/00;032513/00;032513/00;;;
35311-100;18HR70-0;;103240055028/01;103240055028/01;;;
35312-100;46RD39-0;;104200DBX022/00;;;;
35313-100;44VV10-0;;132460/02;132460/02;;;
35314-100;17YY67-0;;132459/02;132459/02;;;
35315-100;70YN60-0;;232712/00;;;;
35316-100;41VP85-0;;232715/00;232715/00;;;
35317-100;30QQ68-0;;132702/00;132702/00;;;
35318-100;45HM18-0;219092/00;219092/00;219092/00;;;
35319-100;98MP26-0;247800056022/01;247800056022/01;147800056021/02;;;
35320-100;48UM32-0;74GY18-3;103160DBX022/02;103160DBX022/02;;;
35321-100;08AY67-3;08AY67-3;;104400DBX021/03;;;
35322-100;80HJ62-0;262120DBX021/00;262120DBX021/00;262120DBX021/00;;;
35323-100;80FS21-0;262160DBX021/01;262160DBX021/01;262160DBX021/01;;;
35324-100;90GL21-0;262240DBX021/00;262240DBX021/00;262240DBX021/00;;;
35325-100;30VV52-0;262480DBX021/00;262480DBX021/00;262480DBX021/00;;;
35326-100;46GT81-0; ;219824/00;219824/00;;;
35327-100;18GG61-0;;104160DBX022-00;104160DBX022-00;;;
35328-100;16SF58-0;104200DBX022-00;104200DBX022-00;;;;
35329-100;86RL61-0;332968;332968;104360DBX022-00;;;
35330-100;99GJ65-0;204480DBX022-03;204480DBX022-03;104480DBX022-00;;;
35331-100;29FP44-0; ; ;104560DBX022-02;;;
35332-100;77TL61-0;262360DBX021/04;262360DBX021/04;262360DBX021/04;;;
35333-100;18LN76-3;272999DBX180/00;272999DBX180/00;172999DBX180/00;;;
35334-100;70MK91-0;363999DBX048/0;363999DBX048/0;363999DBX048/0;;;
35335-100;53CT66-0;262280DBX121/01;262280DBX121/01;162280DBX021/00;;;
35336-100;38EW91-0;232804/00;232804/00;232805/00;;;
35337-100;19UK65-0;373600RGH025/00;373600RGH025/00;173600RGH025/01;;;
35338-100;42AQ99-0;;104300015021/02;104300015021/02;;;
35339-100;61DS29-0;78TP16-3;133009/00;133009/00;;;
35340-100;24QQ73-0;24WF39-3;133005/00;133005/00;;;
35341-100;47LB33-0;247360056022/01;247360056022/01;147.320.056.021/00;;;
35342-100;55EN43-0;;104240DBX022/0;104240DBX022/0;;;
35343-100;73CB63-3;83UR74-3;;104480DBX024/01;;;
35344-100;27HN93-0;27HN93-3;;262720DBX121/01;;;
35345-100;15GU22-0;333-048/00;333-048/00;333-048/00;;;
35346-100;41GU16-3;262240DBX121/01;262240DBX121/01;262.240.DBX.021/02;;;
35347-100;50FG90-3;262600DBX121/01;262600DBX121/01;262600DBX121/01;;;
35348-100;67DT22-0;333076/00;333076/00;;;;
35349-100;34WJ55-0;34WJ55-3;164480RGL022/02;164480RGL022/02;;;
35350-100;92HC47-0;24826C056021/00;24826C056021/00;148.26C.056.021;;;
35351-100;27QP77-0;233043/00;233043/00;;;;
35352-100;48VC21-0;119-709;119-709;019_713;;;
35353-100;71YD69-0;;;;;;
35354-100;17TU26-0;262480DBX021/02;262480DBX021/02;262480DBX021/02;;;
35355-100;44BQ29-0;131273;;;;;
35356-100;90AY44-0;;;;;;
35357-100;14UV29-1;119032-02;;;;;
35358-100;85PS46-0;;;;;;
35359-100;45AQ09-0;;;;;;
35360-100;23DR68-0;;;;;;
35361-100;57XU69-0;;121-149/00;121-149/00;;;
35363-100;62DC20-0;131072/01;;;;;
35365-100;03MK35-0;;;;;;
35366-100;42FH62-0;;;;;;
35367-100;23SF03-0;;;;;;
35368-100;42LM86-0;;;;;;
35369-100;71KU32-0;131272/01;;;;;
35370-100;47EL07-0;131344/00;;;;;
35371-100;95RX26-0;118985;;;;;
35372-100;29LC29-0;118998;;;;;
35373-100;21SS63-0;119013;;;;;
35374-100;63HX37-0;118968;;;;;
35375-100;29FY95-0;104020009021/02;;;;;
35376-100;90HB49-0; ; ;104480DBX.021/02;;;
35377-100;70NA14-0; ; ;104720DBX021/04;;;
35378-100;02JC66-0;203320017221/00;203320017221/00;103320017022/00;;;
